CheckIn ID|User ID|Type|CheckIn Date|Virtual Class ID
1|f1e274eb-dd75-474d-a7cc-5471ca96edbf|Virtual|2025-05-10 15:34|457
2|573ba9d2-4907-4ff9-a918-245abbc3bde7|Virtual|2025-05-10 15:36|0
3|573ba9d2-4907-4ff9-a918-245abbc3bde7|Virtual|2025-05-10 15:37|444444
4|573ba9d2-4907-4ff9-a918-245abbc3bde7|Virtual|2025-05-10 15:40:02.894898400|456789
5|573ba9d2-4907-4ff9-a918-245abbc3bde7|Virtual|2025-05-10 16:15|4567892
6|d8296137-4552-4ff1-a951-0791f04df85f|Gym|2025-05-10 16:45|
7|07b5c6d5-9855-4c82-8489-2ba52707a3c1|Gym|2025-05-12 12:32:33.240700700|
8|d8296137-4552-4ff1-a951-0791f04df85f|Gym|2025-05-12 15:48:13.709579|
9|d8296137-4552-4ff1-a951-0791f04df85f|Virtual|2025-05-12 15:49:35.070964|45789
10|d8296137-4552-4ff1-a951-0791f04df85f|Gym|2025-05-12 15:50:41.139791200|
11|d8296137-4552-4ff1-a951-0791f04df85f|Gym|2025-05-12 15:52:31.344560100|
12|d8296137-4552-4ff1-a951-0791f04df85f|Gym|2025-05-12 15:58:39.841075900|
13|d8296137-4552-4ff1-a951-0791f04df85f|Gym|2025-05-12 15:59:07.293767500|
14|d8296137-4552-4ff1-a951-0791f04df85f|Gym|2025-05-12 16:07:10.149149|
